gene_symbol,module,score_group,rationale,gene_count,table_scope
IL1B,nfkb_inflammation,inflammatory,Inflammasome-related inflammatory cytokine,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CCL2,nfkb_inflammation,inflammatory,Monocyte recruitment chemokine relevant to adipose inflammation,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CXCL8,nfkb_inflammation,inflammatory,Neutrophil/innate immune chemokine and inflammatory activation marker,7,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
TLR4,innate_immune_inflammation,inflammatory,Innate immune receptor linked to lipid-induced inflammation,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
NLRP3,innate_immune_inflammation,inflammatory,Inflammasome component relevant to metabolic inflammation,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CASP1,innate_immune_inflammation,inflammatory,Inflammasome effector supporting IL1B maturation,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ITGAM,monocyte_macrophage,inflammatory,Myeloid/macrophage marker useful for immune-cell infiltration context,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CD14,monocyte_macrophage,inflammatory,Monocyte marker and LPS co-receptor,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
CD68,monocyte_macrophage,inflammatory,Macrophage marker used for tissue inflammatory burden,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ADGRE1,monocyte_macrophage,inflammatory,Macrophage marker; human ortholog context should be checked per dataset,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
MRC1,macrophage_resolution,repair,Macrophage alternative activation/resolution marker,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ARG1,macrophage_resolution,repair,Resolution/repair-associated macrophage marker; human tissue context should be interpreted carefully,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
PPARG,adipose_metabolism_resolution,repair,Adipose metabolism and anti-inflammatory transcriptional regulator,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ADIPOQ,adipose_metabolism_resolution,repair,Adipocyte metabolic health marker often reduced in obesity inflammation,2,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
LEP,adipose_metabolism_inflammation,inflammatory,Adiposity-linked hormone and inflammatory-metabolic signal,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
INSR,insulin_metabolism,repair,Insulin signalling receptor and metabolic health marker,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
IRS1,insulin_metabolism,repair,Insulin signalling adaptor relevant to skeletal muscle and adipose metabolism,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SLC2A4,insulin_metabolism,repair,GLUT4 glucose transport and exercise/metabolic adaptation marker,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
AKT2,insulin_metabolism,repair,Insulin signalling kinase relevant to glucose metabolism,4,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
MTOR,nutrient_sensing,both,Nutrient-sensing kinase; context-dependent growth/adaptation signal,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
FOXO3,stress_repair,repair,Stress resistance and mitochondrial/autophagy-related transcription factor,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ATM,dna_damage_repair,repair,DNA damage response kinase linked to repair signalling,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
XRCC1,dna_damage_repair,repair,Base excision repair marker,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
OGG1,dna_damage_repair,repair,Oxidative DNA damage repair enzyme,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
ATG5,autophagy_repair,repair,Autophagy machinery marker relevant to exercise adaptation and repair,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
BECN1,autophagy_repair,repair,Autophagy initiation marker,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
MAP1LC3B,autophagy_repair,repair,Autophagosome marker and cellular repair process indicator,3,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
SQSTM1,autophagy_repair,both,Autophagy adaptor; accumulation may indicate stress or altered flux,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
UCP2,mitochondrial_stress,both,Mitochondrial uncoupling and metabolic stress/adaptation marker,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
UCP3,mitochondrial_stress,repair,Skeletal muscle mitochondrial fatty acid handling and exercise adaptation marker,1,gene-set annotation and per-dataset expression availability; no cross-platform expression pooling
