accession,module,priority,organism,tissue_or_cell,n,assay_or_data_type,intervention_or_comparison,relevance_to_NAMPT_axis,main_risk,url,processed_or_key_files
GSE302599,adipose_cell_context,download_second,Homo sapiens,visceral adipose tissue,63,single-nucleus RNA-seq,human visceral adipose biopsies,Cell-type context for adipose NAMPT and inflammatory programs,May involve privacy/access caveats and requires single-cell processing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302599,matrix.mtx.gz; features.tsv.gz; barcodes.tsv.gz; metadata.tsv.gz
GSE282850,muscle_cell_model,download_first,Homo sapiens,LHCN-M2 human skeletal muscle cells,15,RNA-seq,differentiation AICAR and palmitate stimulation,Mechanistic bridge: AICAR exercise-mimetic versus palmitate insulin-resistance-like stress; useful for regulatory target interpretation,Cell line model and not whole-body exercise,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282850,raw_counts.txt.gz; vst_counts.txt.gz
GSE247455,regulatory_benchmark,supplement,Homo sapiens,skeletal muscle and LHCN-M2 myotube,8,MPRA plus snRNA/snATAC/QTL resource,Regulatory benchmark for Evo2-prioritized variants in human skeletal muscle,Not a direct exercise or obesity intervention dataset,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247455,bc_dictionary.txt.gz; lhcnm2-mpra-counts.txt.gz
GSE270703,exercise_spatial_context,download_second,Homo sapiens,skeletal muscle,10,spatial transcriptomics,combined aerobic and resistance training in young adults,Spatial/cell-context support for exercise adaptation in muscle,Small specialized dataset requiring spatial processing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270703,RAW.tar
GSE189298,exercise_muscle_secondary,download_second,Homo sapiens,skeletal muscle,10,expression profiling,exercised versus not-exercised human skeletal muscle,Secondary confirmation of exercise muscle signal,Small dataset and limited metadata,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189298,RAW.tar
GSE333506,exercise_blood_altitude,supplement,Homo sapiens,whole blood,42,lncRNA-mRNA expression,four-week altitude training in endurance athletes,Possible blood exercise adaptation context,Altitude and ethnicity/training-status confounding,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333506,RAW.tar
GSE282291,muscle_cell_mirna_supplement,supplement,Homo sapiens,primary human skeletal muscle cells,24,cell expression profiling,extracellular miR-136-3p and glucose uptake/myogenesis model,Supplementary muscle glucose uptake and myogenesis context,Focused on miRNA/NRDC not NAMPT-axis primary question,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282291,RAW.tar
GSE292357,tendon_ampk_animal,supplement,Mus musculus,Achilles tendon,24,RNA-seq,tendinopathy and AMPK-alpha1 loss context,Mechanistic repair/AMPK support only,Animal-only and tendon-specific,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292357,expected count and FPKM matrices
GSE292517,tendon_running_animal,supplement,Mus musculus,Achilles tendon,25,RNA-seq,AMPK and wheel-running tendon context,Mechanistic repair/AMPK exercise support only,Animal-only and tendon-specific,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292517,expected count and FPKM matrices
GSE287158,pad_exercise_manual_check,exclude,Homo sapiens,skeletal muscle,89,unknown,reported telmisartan and exercise response in peripheral artery disease,Potential exercise muscle dataset but disease-confounded and matrix URL failed,Series matrix returned 404; manual check required,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287158,not resolved in first pass
